 Pressure tensor from virial route using IK-VR1 definition
 Unit: pressure in [bar] and length in [Angstrom]
  z              Pkin               Pt(fw)             Pt(ff)             Pt(tot)            Pn(fw)             Pn(ff)             Pn(tot)
 12.5605         0.0000           -27.4858             0.0000           -27.4858          -106.0188             0.0000          -106.0188
 12.5705         0.0000           -27.4934             0.0000           -27.4934          -106.0425             0.0000          -106.0425
 12.5805         0.0000           -27.5063             0.0000           -27.5063          -106.0460             0.0000          -106.0460
 12.5905         0.0000           -27.5225             0.0000           -27.5225          -106.0689             0.0000          -106.0689
 12.6005         0.0000           -27.5148             0.0000           -27.5148          -106.0524             0.0000          -106.0524
 12.6105         0.0000           -27.5106             0.0000           -27.5106          -106.0805             0.0000          -106.0805
 12.6205         0.0000           -27.4974             0.0000           -27.4974          -106.1208             0.0000          -106.1208
 12.6306         0.0000           -27.5075             0.0000           -27.5075          -106.0794             0.0000          -106.0794
 12.6406         0.0000           -27.5218             0.0000           -27.5218          -106.0546             0.0000          -106.0546
 12.6506         0.0000           -27.5226             0.0000           -27.5226          -106.0372             0.0000          -106.0372
 12.6606         0.0000           -27.5251             0.0000           -27.5251          -105.9782             0.0000          -105.9782
 12.6706         0.0000           -27.5164             0.0000           -27.5164          -105.9414             0.0000          -105.9414
 12.6806         0.0000           -27.5115             0.0000           -27.5115          -105.9329             0.0000          -105.9329
 12.6906         0.0000           -27.5196             0.0000           -27.5196          -105.9632             0.0000          -105.9632
 12.7006         0.0000           -27.5048             0.0000           -27.5048          -105.9784             0.0000          -105.9784
 12.7106         0.0000           -27.5085             0.0000           -27.5085          -105.9585             0.0000          -105.9585
 12.7206         0.0000           -27.4733             0.0000           -27.4733          -105.9939             0.0000          -105.9939
 12.7306         0.0000           -27.4697             0.0000           -27.4697          -105.9698             0.0000          -105.9698
 12.7406         0.0000           -27.4464             0.0000           -27.4464          -105.9629             0.0000          -105.9629
 12.7506         0.0000           -27.4580             0.0000           -27.4580          -105.9672             0.0000          -105.9672
 12.7606         0.0000           -27.4554             0.0000           -27.4554          -105.9964             0.0000          -105.9964
 12.7706         0.0000           -27.4567             0.0000           -27.4567          -106.0221             0.0000          -106.0221
 12.7806         0.0000           -27.4522             0.0000           -27.4522          -106.0273             0.0000          -106.0273
 12.7906         0.0000           -27.4572             0.0000           -27.4572          -106.0153             0.0000          -106.0153
 12.8006         0.0000           -27.4542             0.0000           -27.4542          -105.9569             0.0000          -105.9569
 12.8106         0.0000           -27.4602             0.0000           -27.4602          -105.9417             0.0000          -105.9417
 12.8206         0.0000           -27.4816             0.0000           -27.4816          -105.9248             0.0000          -105.9248
 12.8306         0.0000           -27.4932             0.0000           -27.4932          -105.9505             0.0000          -105.9505
 12.8406         0.0000           -27.4974             0.0000           -27.4974          -105.9493             0.0000          -105.9493
